title,url,category,price,count_review,address,count_photo,rating,rating_by_category,normalized_rating
Alean Family Resort & Spa Doville,https://www.tripadvisor.ru/Hotel_Review-g608960-d4176774-Reviews-Alean_Family_Resort_Spa_Doville-Anapa_Krasnodar_Krai_Southern_District.html,Отель,17160.0,1,"Пионерский проспект, 14, Анапа 353456 Россия",659,4.5,1.9030030030030032,1.9030030030030032
Де ла Мапа отель,https://www.tripadvisor.ru/Hotel_Review-g608960-d2706800-Reviews-De_La_Mapa_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,2500.0,161,"Протапова улица, д. 102, Анапа 353440 Россия",82,4.5,1.5079144394774138,1.5079144394774138
Гостиничный комплекс  Альбатрос,https://www.tripadvisor.ru/Hotel_Review-g608960-d1505031-Reviews-Albatros-Anapa_Krasnodar_Krai_Southern_District.html,Отель,2900.0,125,"Горького ул., 9 A, Анапа Россия",78,4.5,1.3937365286378944,1.3937365286378944
"Отель ""Анапа-Лазурная""",https://www.tripadvisor.ru/Hotel_Review-g608960-d4350864-Reviews-Anapa_Lazurnaya_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,2900.0,116,"Новороссийская ул., 174, Анапа 353440 Россия",129,4.5,1.4440994864363605,1.4440994864363605
Пансионат Урал,https://www.tripadvisor.ru/Hotel_Review-g608960-d3702779-Reviews-Pansionat_Ural-Anapa_Krasnodar_Krai_Southern_District.html,Российский пансионат,8839.0,95,"Пионерский проспект, д. 24, Анапа 353456 Россия",174,4.5,1.643067108637188,1.4493217041016737
Старинная Анапа,https://www.tripadvisor.ru/Hotel_Review-g608960-d2695955-Reviews-Starinnaya_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,5500.0,129,"ул. Набережная, д. 2, Анапа 353440 Россия",126,4.0,1.3785861734268412,1.3785861734268412
Гранд отель анапа,https://www.tripadvisor.ru/Hotel_Review-g608960-d21150209-Reviews-Grand_Hotel_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,11500.0,37,"проезд Голубые Дали 1, Анапа 353440 Россия",59,4.5,1.1006407013994266,1.1006407013994266
Парк-Отель Анапа,https://www.tripadvisor.ru/Hotel_Review-g608960-d534855-Reviews-Park_hotel_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,4140.0,82,"Набережная улица, д. 8, Анапа 353440 Россия",105,4.0,1.205578567945791,1.205578567945791
Богема,https://www.tripadvisor.ru/Hotel_Review-g608960-d2696911-Reviews-Bogema_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,1700.0,74,"Гребенская улица, д. 11, Анапа 353440 Россия",14,4.5,1.1434665317821615,1.1434665317821615
"Гостиница ""Садко""",https://www.tripadvisor.ru/Hotel_Review-g608960-d5877572-Reviews-Sadko_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,1000.0,25,"ул. Астраханская, 9, Анапа 353451 Россия",42,4.5,1.038808003754893,1.038808003754893
